PLACE,Soil type,Age,Growing_season,Season_temp,Season_precip,GSDY,Altitude,Disturbance,Biomass
Columbia,Non-Sandy,2,365,28,3152,55,100,Fire,19
Columbia,Non-Sandy,5,365,28,3152,138,100,Fire,68
Columbia,Non-Sandy,16,365,28,3152,440,100,Fire,203
Guatemala,Non-Sandy,1,214,26,1605,15,55,Agriculture,7.8
Guatemala,Non-Sandy,1,214,26,1605,15,55,Agriculture,10
Guatemala,Non-Sandy,2,214,26,1605,31,55,Agriculture,14.2
Guatemala,Non-Sandy,3,214,26,1605,46,55,Agriculture,22.9
Guatemala,Non-Sandy,4,214,26,1605,61,55,Agriculture,26.4
Guatemala,Non-Sandy,4,214,26,1605,61,55,Agriculture,27.4
Guatemala,Non-Sandy,4,214,26,1605,61,55,Agriculture,28.2
Guatemala,Non-Sandy,5,214,26,1605,77,55,Agriculture,29.8
Guatemala,Non-Sandy,5,214,26,1605,77,55,Agriculture,38.9
Guatemala,Non-Sandy,6,214,26,1605,92,55,Agriculture,42.7
Guatemala,Non-Sandy,6,214,26,1605,92,55,Agriculture,50.1
Guatemala,Non-Sandy,7,214,26,1605,107,55,Agriculture,46.7
Guatemala,Non-Sandy,8,214,26,1605,122,55,Agriculture,65.9
Guatemala,Non-Sandy,9,214,26,1605,138,55,Agriculture,72.4
Guatemala,Non-Sandy,10,214,26,1605,153,55,Agriculture,54.1
Panama,Non-Sandy,2,245,25,1725,34,50,Agriculture,13
Panama,Non-Sandy,3,245,25,1725,50,50,Agriculture,24.4
Panama,Non-Sandy,6,245,25,1725,101,50,Agriculture,38
Mexico,Non-Sandy,0.83,243,24,3280,13,150,Fire,5.2
Mexico,Non-Sandy,7,243,24,3280,112,150,Agriculture,43.5
