"ID","Site","Disturbance","Age","Type","Measurement","Prop_Ref","Prop_Sec","Tax","Prop","proploss","proploss2","asin"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007c","Pasture",30,"Tropical rainforest","Proportion of primary forest species",1,0,"All plants",0,-1,-Inf,0
"Liebsch et al 2008","Liebsch et al 2008c","Shifting agriculture",80,"Tropical rainforest","Proportion of primary forest species",1,0.49,"All plants",0.49,-0.51,-0.0400053346136992,0.715604466820986
"Liebsch et al 2008","Liebsch et al 2008d","Shifting agriculture",15,"Tropical rainforest","Proportion of primary forest species",1,0.19,"All plants",0.19,-0.81,-1.450010175506,0.437220935604712
"Liebsch et al 2008","Liebsch et al 2008e","Shifting agriculture",25,"Tropical rainforest","Proportion of primary forest species",1,0.44,"All plants",0.44,-0.56,-0.241162056816888,0.674980498530012
"Liebsch et al 2008","Liebsch et al 2008f","Shifting agriculture",15,"Tropical rainforest","Proportion of primary forest species",1,0.09,"All plants",0.09,-0.91,-2.31363492918063,0.300203172892285
"Liebsch et al 2008","Liebsch et al 2008g","Shifting agriculture",15,"Tropical rainforest","Proportion of primary forest species",1,0.15,"All plants",0.15,-0.85,-1.73460105538811,0.388031278090679
"Liebsch et al 2008","Liebsch et al 2008h","Shifting agriculture",25,"Tropical rainforest","Proportion of primary forest species",1,0.1,"All plants",0.1,-0.9,-2.19722457733622,0.316492371411318
"Liebsch et al 2008","Liebsch et al 2008i","Shifting agriculture",36,"Tropical rainforest","Proportion of primary forest species",1,0.19,"All plants",0.19,-0.81,-1.450010175506,0.437220935604712
"Liebsch et al 2008","Liebsch et al 2008j","Shifting agriculture",50,"Tropical rainforest","Proportion of primary forest species",1,0.19,"All plants",0.19,-0.81,-1.450010175506,0.437220935604712
"Chazdon et al 2009","Chazdon et al 2009b","Pasture",11,"Tropical rainforest","Proportion of primary forest species",1,0.15,"All plants",0.15,-0.85,-1.73460105538811,0.388031278090679
"Chazdon et al 2009","Chazdon et al 2009c","Pasture",24,"Tropical rainforest","Proportion of primary forest species",1,0.22,"All plants",0.22,-0.78,-1.26566637333128,0.470971836203392
"Chazdon et al 2009","Chazdon et al 2009d","Pasture",33,"Tropical rainforest","Proportion of primary forest species",1,0.29,"All plants",0.29,-0.71,-0.895384047054841,0.542426804047313
"Chazdon et al 2009","Chazdon et al 2009g","Pasture",21,"Tropical rainforest","Proportion of primary forest species",1,0.26,"All plants",0.26,-0.74,-1.04596855518269,0.512856902954878
"Chazdon et al 2009","Chazdon et al 2009h","Pasture",29,"Tropical rainforest","Proportion of primary forest species",1,0.36,"All plants",0.36,-0.64,-0.575364144903562,0.606850799980226
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007d","Pasture",60,"Tropical rainforest","Proportion of primary forest species",1,0.222222222222222,"All plants",0.222222222222222,-0.777777777777778,-1.25276296849537,0.473384719125333
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007e","Pasture",80,"Tropical rainforest","Proportion of primary forest species",1,0.222222222222222,"All plants",0.222222222222222,-0.777777777777778,-1.25276296849537,0.473384719125333
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007f","Pasture",10,"Tropical rainforest","Proportion of primary forest species",1,0,"All plants",0,-1,-Inf,0
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007g","Pasture",10,"Tropical rainforest","Proportion of primary forest species",1,0.277777777777778,"All plants",0.277777777777778,-0.722222222222222,-0.955511445027436,0.530546956669101
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007h","Pasture",20,"Tropical rainforest","Proportion of primary forest species",1,0,"All plants",0,-1,-Inf,0
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007i","Pasture",20,"Tropical rainforest","Proportion of primary forest species",1,0,"All plants",0,-1,-Inf,0
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007j","Pasture",30,"Tropical rainforest","Proportion of primary forest species",1,0.388888888888889,"All plants",0.388888888888889,-0.611111111111111,-0.451985123743057,0.632000980917431
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007k","Pasture",30,"Tropical rainforest","Proportion of primary forest species",1,0.388888888888889,"All plants",0.388888888888889,-0.611111111111111,-0.451985123743057,0.632000980917431
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007l","Pasture",60,"Tropical rainforest","Proportion of primary forest species",1,0.333333333333333,"All plants",0.333333333333333,-0.666666666666667,-0.693147180559946,0.582955323720542
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007m","Pasture",60,"Tropical rainforest","Proportion of primary forest species",1,0.666666666666667,"All plants",0.666666666666667,-0.333333333333333,0.693147180559945,0.854240982525989
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007n","Pasture",80,"Tropical rainforest","Proportion of primary forest species",1,0.277777777777778,"All plants",0.277777777777778,-0.722222222222222,-0.955511445027436,0.530546956669101
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007o","Pasture",80,"Tropical rainforest","Proportion of primary forest species",1,0.444444444444444,"All plants",0.444444444444444,-0.555555555555556,-0.22314355131421,0.678641283507953
"Woods et al 2012","Woods et al 2012a","Pasture",35,"Tropical moist forest","Proportion of primary forest species",1,0.091666667,"All plants",0.091666667,-0.908333333,-2.29345260542744,0.302977772511084
"Woods et al 2012","Woods et al 2012c","Pasture",55,"Tropical moist forest","Proportion of primary forest species",1,0.425,"All plants",0.425,-0.575,-0.302280871872933,0.662541987808894
"Woods et al 2012","Woods et al 2012e","Pasture",115,"Tropical moist forest","Proportion of primary forest species",1,0.7,"All plants",0.7,-0.3,0.847297860387203,0.880566577046138
"Woods et al 2012","Woods et al 2012g","Pasture",85,"Tropical moist forest","Proportion of primary forest species",1,0.333333333,"All plants",0.333333333,-0.666666667,-0.693147182059945,0.5829553234173
